"6790","","","","","","","tools=hammer, scraper","","","","","YES","NO",""
"6804","","1","","","1","","","","","","","NO","NO",""
"6817","","","","","","","tools=scalpellum, culter (pruning tools)","","","","","YES","NO",""
"6819","","","1","","","","","","","","","NO","NO",""
"6826","","3","","","","","these birds are chickens, two hens and one chick","","","","","NO","NO",""
"6829","","","","","","","cup (calix)","","","","","NO","NO",""
"6830","","1","","","","","reuse of another plaque; bird is cut off","1","","","","NO","NO",""
"6832","","","","","","","upper part of a woman orans preserved","","1","","","NO","NO",""
"6841","","1","1","","","","","","","","","NO","NO",""
"6842","","","","","","1","","","","","","NO","NO",""
"6846","","1","","","","","bird in thorn bush","","","","","NO","NO",""
"6848","","","1","","","","","","","","","NO","NO",""
"6850","","","1","","","","","","","","","NO","NO",""
"6851","","1","","","","","","","","","","NO","NO",""
"6854","","1","","","1","","bird holds frond in beak","","","","","NO","NO",""
"6855","","","1","","","","chi-rho used in phrase","","","","","NO","NO",""
"6857","","1","","","","","","","","","","NO","NO",""
"6862","","","","","","1","","","","","","NO","NO",""
"6868","","1","","","","","","","","","","NO","NO",""
"6870","","","","","","","vase with some kind of plant popping out","","","","","NO","NO",""
"6871","","","","","","1","","","","","","NO","NO",""
"6874","","","1","","","","","","","","","NO","NO",""
"6875","1","","","","","","","","","","","NO","NO",""
"6879","","","","","","2","","","","","","NO","NO",""
"6880","","","","","","","PORTRAIT: orans=Cobuldeus","","1","","","NO","NO",""
"6883","","","1","","","","","","","","","NO","NO",""
"6884","","","1","","","","chi-rho is made in ""opus musivum"" in the cement","","","","","NO","NO",""
"6887","","2","","","3","","one bird holds frond, rests on frond; the other just holds a frond in beak","","","","","NO","NO",""
"6889","","","1","","","","","","","","","NO","NO",""
"6893","","","","","","","modius full of grain","","","","","NO","NO",""
"6894","","1","","","1","","","","","","","NO","NO",""
"6899","","","1","","","","","","","","","NO","NO",""
"6900","","","","","","1","","","","","","NO","NO",""
"6909","","1","","","","","","","","","","NO","NO",""
"6910","","1","","","","","","","","","","NO","NO",""
"6911","","","","","","","vase","","","","","NO","NO",""
"6913","","","1","","","","","","","","","NO","NO",""
"6914","","1","","","1","","bird holds frond in beak","","","","","NO","NO",""
"6915","","2","","","","","two birds peck olive","1","","","","NO","NO",""
"6918","","1","","","","","GIRL holding bird, not a real orans; tools=weaving tools","","","","","YES","NO",""
"6919","1","","","","","","","","","","","NO","NO",""
"6921","","","1","","","1","","","","","","NO","NO",""
"6922","","","","","","","part of a modius (ed.)","","","","","NO","NO",""
"6925","","","","","","1","","","","","","NO","NO",""
"6926","","","","","","","only the orans' arm visible; also three nice intratextual hederae","","1","","","NO","NO",""
"6937","","1","","","1","1","bird holds frond in feet; also a vase with flowers popping out","","","","","NO","NO",""
"6943","","","","","","1","one big hedera beside the text, one between the names","","","","","NO","NO",""
"6944","1","","","","","","some object, either a little fish or a scroll","","","","","NO","NO",""
"6952","","","","","","","wreath","","","","","NO","NO",""
"6954","","","","","","1","","","","","","NO","NO",""
"6955","","2","","","","","two birds holding olives in their beaks and sitting on overturned canisters","2","","","","NO","NO",""
"6956","1","","","","","","","","","","","NO","NO",""
"6958","","","","","","","bread (ed.)?=Circle with cross in the middle","","","","","NO","NO",""
"6963","","","","","","","PORTRAIT heads of Veneranda and Petronella; they are painted and overlap 6499","","","","","NO","NO",""
"6970","1","","","","","","","","","","","NO","NO",""
"6976","","","1","","","","","","","","","NO","NO",""
"6979","","","1","","","","","","","","","NO","NO",""
"6980","","1","","","1","","bird with frond in beak","","","","","NO","NO",""
"6981","","","","","","","part of a veil?","","","","","NO","NO",""
"6983","","1","","","","","bird eating grapes","","","","","NO","NO",""
"6986","","","","","","1","","","","","","NO","NO",""
"6989","","","","","","","foot to left of name","","","","","NO","NO",""
"6995","","","","","","","tool=part of a saw; something indiscernible balances it on other side","","","","","YES","NO",""
"7002","","1","","","","","","","","","","NO","NO",""
"7003","","","1","","","","","","","","","NO","NO",""
"7005","","1","","","","","basket","","","","","NO","NO",""
"7007","","","1","","","","","","","","","NO","NO",""
"7009","","","1","","","","","","","","","NO","NO",""
"7013","","","1","","","","","","","","","NO","NO",""
"7014","","2","2","","","2","birds at tree","","","","","NO","NO","1"
"7021","","","1","","","","chi-rho in circle with a/o; weird: word ""IOVIS"" under chi-rho","","","","","NO","NO",""
"7033","","","1","","","","","","","","","NO","NO",""
"7038","","","","","","1","","","","","","NO","NO",""
"7042","","","","","1","","ed.: it looks like the frond would be in the mouth of a bird, but no bird is visible","","","","","NO","NO",""
"7043","","1","","","","","bird approaches a modius full of grain","","","","","NO","NO",""
"7050","","","","","","2","at ends of lines","","","","","NO","NO",""
"7054","1","","","","","1","twiggy hedera, what seems to be part of an anchor","","","","","NO","NO",""
"7059","","","","","","","barrel","","","","","NO","NO",""
