"Y","ICUR 8590A","D","NO","Victoria","NO","NO","NO","51","NO","YES","F","","","","","25",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","2","","NO","NO","","","1","","","","NO","NO","NO","NO","NO","","YES","NO"
"Y","other decedent of 8922","D","NO","","NO","NO","NO","52","NO","NO","F","","","","","3",,,,,,,,,,,,,,,,,,,,,"","","","","","1","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment c of 9738","C","NO","","NO","NO","YES","53","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","C","cubiculum","b","","","","","","","","boat","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b of 9884","C","NO","Gaudentius","NO","NO","YES","54","NO","NO","M",,,,,,,,,,,,,,,,,,,,"","","D","scala","","","","","1","","","","","","","","","NO","NO","","","1","","","",,,,,,,,
"N","fragment q of 9896","C","NO","","NO","NO","YES","55","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","D","cubiculum","o","","","","","","","1","giant hedera","","","","","NO","NO","",,,,,,"YES","NO","NO","NO","NO","","NO","NO"
"N","fragment b of 9957","C","NO","Laurenti","NO","NO","YES","56","NO","NO","M",,,,,,,,,,,,,,,,,,,,"","","B","ambulacro","15","","","","1","","","","","","","","","NO","NO","","","1","","","",,,,,,,,
"N","fragment c of 10054","C","NO","","NO","NO","YES","57","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","C","ambulacro","1","","","1","","1","","","","","","","","NO","NO","1",,,,,,,,,,,,,
"N","fragment e of 10054","C","NO","Mercurus","NO","NO","YES","58","NO","NO","M",,,,,,,,,,,,,,,,,,,,"found in Dg, but maybe fell from region above","","D","cubiculum","g","","","","1","","","","chi-rho in circle has AO; extra X or tilted cross, too","","","1","","NO","NO","","","1","","","",,,,,,,,
"N","fragment b of 10073","C","NO","Pastor","NO","NO","YES","59","NO","NO","M",,,,,,,,,,,,,,,,,,,,"","","D","ambulacro","2","","","1","","","","","","","","","","NO","NO","","","1","","","",,,,,,,,
"N","fragment l of 10303","C","NO","","NO","NO","YES","60","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","F","ambulacro","5","","","1","","","1","","bird on frond","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment t of 10303","C","NO","","NO","NO","YES","61","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","E","cubiculum","q","","","1","","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment e of 10321","C","NO","…rie or …pie (but is this the name?)","NO","NO","YES","62","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","A","ambulacro","1","","1","1","","","","","","","","","","NO","NO","","","","","","",,,,,,,,
